event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,weight_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,archived_link,project_interested,uid
Seizure,Individual,2025-10-14,,2025,10,14,,Cocaine,46.8,Kilogram,Land,Hidden in tank truck,South America,Argentina,Santiago del Estero,,Bolivia,,,,,,,,,,,,,,,,,"Four Bolivian nationals were arrested transporting 46.8 kg of cocaine in a tank truck in Santiago del Estero, Argentina.",,,,https://eldeber.com.bo/pais/caen-cuatro-bolivianos-traslado-cocaina-argentina_1760566264,Archived Link - Argentina,,09a657f0-cad6-41e1-9bc1-4703e87a6b8c
Seizure,Individual,2025-10-15,,2025,10,15,,Cocaine,46.8,Kilogram,Land,Transported in a Bolivian truck entering Argentina,South America,Argentina,Santiago del Estero,Santiago del Estero,Bolivia,,,,,,,,,,,,,,,,,A Bolivian truck was intercepted entering Argentina carrying 47 kg of cocaine.,,,,https://www.eltribuno.com/policiales/2025-10-15-0-0-0-camion-boliviano-ingreso-cargado-con-47-kg-de-droga,Archived Link - Argentina,,db212c6a-1fc7-4552-aacf-382e69d6818a
Seizure,Individual,2025-10-06,,2025,10,6,,Cocaine,86.76,Kilogram,Land,Hidden in GNC cylinders and dashboard,North America,Argentina,Tucumán,San Miguel de Tucumán,,,,South America,Argentina,Salta,Cafayate ,,,,,,,,,,,Relatives in Tucumán filled GNC tubes and removed dashboard to conceal 86.76 kg cocaine for transport; two arrested.,,,,https://www.argentina.gob.ar/noticias/tucumantio-y-sobrino-rellenaron-dos-tubos-de-gnc-y-removieron-el-tablero-de-una-pick-para ,Archived Link - Argentina,,c1cc9550-67a7-4285-bbb3-2b9c74d10af1
Seizure,Individual,2025-10-07,,2025,10,7,,Cocaine,86.76,Kilogram,Land,Concealed in GNC cylinders and dashboard of a pickup,Europe,Argentina,Tucumán,San Miguel de Tucumán,,,,,,,,,,,,,,,,,,Tío and sobrino bolivianos modified a pickup to hide 86.76 kg of cocaine; discovered during traffic check.,,,,https://www.ellitoral.com/sucesos/cocaina-bolivianos-tucuman-operativo-camioneta-gnc-ruta-40_0_RmZz56JDDa.amp.html ,Archived Link - Argentina,,bf279354-ef73-4a9d-bb73-d1e33c00b208
Seizure,Individual,2025-06-04,,2025,6,4,,Cocaine,400.0,Kilogram,Land,,South America,Brazil,Amapá,Macapá,,,,,,,,,,,,,,,,,,"Civil and Federal Police seized around 400 kilos of cocaine on wednesday 4th in the Abacate da Pedreira district, in the rural area of ​​Macapá.",,,,https://g1.globo.com/ap/amapa/noticia/2025/06/04/policias-civil-e-federal-realizam-a-maior-apreensao-de-drogas-do-amapa.ghtml,Archived Link - Brazil,,2e829c25-2abb-4da9-ba01-9178362f6dfe
Seizure,Individual,2025-06-05,,2025,6,5,,Cocaine,400.0,Kilogram,Land,,South America,Brazil,Sao Paulo,São José do Rio Preto,,,,,,,,,,,,,,,,,,"the São Paulo State Highway Police (Polícia Rodoviária Estadual) seized over 400 kilograms of cocaine concealed in a false bottom of a semi-trailer during a routine inspection on the Washington Luís Highway (SP-310) in São José do Rio Preto, São Paulo, Brazil.",,,,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2025/06/05/policia-rodoviaria-apreende-mais-de-400-quilos-de-cocaina-escondidos-em-fundo-falso-de-carreta-em-rio-preto.ghtml ,Archived Link - Brazil,,c3663bc5-d32d-4aa8-afd2-68a117ed0632
Seizure,Individual,2025-10-10,,2025,10,10,,Cocaine,2700.0,Kilogram,Land,National police operation / unspecified location,South America,Colombia,Unclear,Unclear,,,,,,,,,,,,,,,,,,"President Gustavo Petro confirmed a cocaine seizure during a security operation; no casualties, 2.7 tonnes of cocaine.",,,,https://www.nacion.com/el-pais/sin-matar-a-nadie-gustavo-petro-confirma-decomiso/QT5WTZIQ4BBETNLHQBFEL6XPFQ/story/,Archived Link - Colombia,,217d739d-6baf-4321-89b2-418e9b6bdfbb
Seizure,Individual,2025-10-11,,2025,10,11,,Cocaine,2700.0,Kilogram,Maritime vessel,Maritime interdiction / hidden in speedboat,South America,Colombia,,,,,,,,,,,,,,,,,,,,Colombian authorities intercepted a speedboat in the Pacific Ocean carrying 2.7 tons of cocaine destined for Costa Rica. Five Colombian nationals were arrested without any shots fired.,,,,https://caracol.com.co/2025/10/11/sin-disparar-un-solo-misil-petro-sobre-incautacion-de-27-toneladas-de-cocaina-en-el-pacifico/,Archived Link - Colombia,,e3732630-81d3-4c4d-bde6-ff230d961891
